ID,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Stability_Test,Turbidity_NTU,Turbidity_Error,Viscosity,Rheology_Type
737,0.00,9.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.02,0.00,0.00,0.00,0.00,0.00,2.42,0.00,2.99,TRUE,15,1,VERY-LOW,NEWTONIAN
738,0.00,0.00,0.00,0.00,0.00,0.00,12.83,9.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,0.00,1.89,TRUE,377,105,MEDIUM,OTHER
739,0.00,0.00,7.57,0.00,0.00,0.00,0.00,0.00,0.00,8.02,0.00,0.00,0.00,0.00,0.00,2.44,0.00,1.47,TRUE,17,0,VERY-LOW,NEWTONIAN
740,0.00,11.42,0.00,0.00,0.00,0.00,9.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.57,0.00,2.88,TRUE,18,0,VERY-LOW,NEWTONIAN
741,0.00,0.00,13.69,0.00,0.00,0.00,8.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,1.74,FALSE,NA,NA,NA,NA
742,8.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.77,0.00,0.00,0.00,0.00,0.00,2.59,0.00,2.82,TRUE,25,1,VERY-LOW,NEWTONIAN
743,0.00,0.00,8.94,0.00,8.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.46,0.00,1.91,TRUE,16,1,VERY-LOW,NEWTONIAN
744,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.71,11.71,0.00,0.00,0.00,0.00,0.00,2.21,0.00,2.27,TRUE,15,0,LOW,OTHER
745,5.17,0.00,11.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,2.37,TRUE,16,0,VERY-LOW,NEWTONIAN
746,0.00,0.00,11.61,7.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.00,1.61,TRUE,15,0,VERY-LOW,NEWTONIAN
747,0.00,12.63,0.00,0.00,0.00,10.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.71,0.00,2.81,TRUE,24,0,VERY-LOW,NEWTONIAN
748,0.00,12.94,0.00,9.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.00,2.68,TRUE,15,0,VERY-LOW,NEWTONIAN
749,0.00,0.00,8.70,0.00,0.00,0.00,0.00,0.00,0.00,12.46,0.00,0.00,0.00,0.00,0.00,1.29,0.00,2.93,TRUE,15,0,LOW,NEWTONIAN
750,11.67,0.00,0.00,0.00,0.00,0.00,12.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,1.66,FALSE,NA,NA,NA,NA
751,0.00,11.50,0.00,7.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.84,0.00,0.00,2.75,TRUE,15,1,VERY-LOW,NEWTONIAN
752,0.00,0.00,0.00,0.00,0.00,0.00,8.53,0.00,12.18,0.00,0.00,0.00,0.00,0.00,2.41,0.00,0.00,4.25,TRUE,757,199,HIGH,OTHER
753,0.00,0.00,0.00,0.00,0.00,0.00,8.37,0.00,0.00,8.00,0.00,0.00,0.00,0.00,2.71,0.00,0.00,2.93,FALSE,NA,NA,NA,NA
754,0.00,9.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.79,0.00,0.00,0.00,0.00,2.26,0.00,0.00,2.90,TRUE,15,1,VERY-LOW,NEWTONIAN
755,0.00,0.00,0.00,8.40,0.00,7.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,0.00,0.00,1.89,FALSE,NA,NA,NA,NA
756,0.00,12.58,0.00,0.00,0.00,0.00,8.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.53,0.00,0.00,3.56,TRUE,14,0,VERY-LOW,NEWTONIAN
757,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.90,9.80,0.00,0.00,0.00,0.99,0.00,0.00,1.57,FALSE,NA,NA,NA,NA
758,0.00,0.00,9.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.75,0.00,0.00,0.00,1.07,0.00,0.00,3.21,FALSE,NA,NA,NA,NA
759,0.00,8.78,0.00,0.00,0.00,0.00,0.00,9.23,0.00,0.00,0.00,0.00,0.00,0.00,2.73,0.00,0.00,4.21,TRUE,123,2,HIGH,SHEAR-THIN
760,0.00,0.00,0.00,0.00,7.94,0.00,0.00,0.00,0.00,0.00,9.65,0.00,0.00,0.00,1.42,0.00,0.00,5.11,FALSE,NA,NA,NA,NA
761,9.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.13,0.00,0.00,0.00,0.00,2.83,0.00,0.00,2.45,TRUE,22,1,VERY-LOW,NEWTONIAN
762,0.00,10.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.03,0.00,0.00,1.51,0.00,0.00,1.62,FALSE,NA,NA,NA,NA
763,0.00,0.00,0.00,0.00,11.74,0.00,0.00,0.00,0.00,8.61,0.00,0.00,0.00,0.00,2.22,0.00,0.00,2.80,FALSE,NA,NA,NA,NA
764,0.00,0.00,0.00,0.00,0.00,10.01,0.00,0.00,10.36,0.00,0.00,0.00,0.00,0.00,1.81,0.00,0.00,2.57,FALSE,NA,NA,NA,NA
765,9.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.72,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.00,1.46,TRUE,36,1,MEDIUM ,SHEAR-THIN
766,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.97,0.00,0.00,12.76,0.00,0.00,0.00,1.50,0.00,0.00,3.45,TRUE,21,3,VERY-LOW,NEWTONIAN
767,0.00,0.00,0.00,10.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.08,0.00,0.00,2.31,0.00,0.00,4.15,TRUE,633,28,HIGH,SHEAR-THIN
768,7.64,11.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.00,0.00,4.01,FALSE,NA,NA,NA,NA
769,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.47,10.60,0.00,0.00,1.94,0.00,0.00,3.86,FALSE,NA,NA,NA,NA
770,0.00,8.46,0.00,0.00,7.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,2.16,FALSE,NA,NA,NA,NA
771,8.89,0.00,0.00,0.00,0.00,9.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.14,0.00,0.00,2.85,FALSE,NA,NA,NA,NA
772,0.00,0.00,0.00,0.00,0.00,0.00,9.99,0.00,0.00,0.00,0.00,10.99,0.00,0.00,2.00,0.00,0.00,4.75,FALSE,NA,NA,NA,NA
773,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.08,11.77,0.00,0.00,0.00,0.00,1.88,0.00,0.00,4.79,FALSE,NA,NA,NA,NA
774,0.00,0.00,8.98,0.00,0.00,0.00,0.00,10.76,0.00,0.00,0.00,0.00,0.00,0.00,3.16,0.00,0.00,2.70,TRUE,20,1,LOW ,NEWTONIAN
775,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.98,0.00,13.04,0.00,0.00,0.00,0.00,2.78,0.00,0.00,1.04,TRUE,18,1,VERY-LOW,NEWTONIAN
776,0.00,0.00,0.00,0.00,0.00,0.00,11.21,0.00,0.00,0.00,7.94,0.00,0.00,0.00,1.53,0.00,0.00,4.04,FALSE,NA,NA,NA,NA
777,0.00,0.00,0.00,11.17,0.00,12.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.82,0.00,0.00,5.05,FALSE,NA,NA,NA,NA
